player,pos,salary,team
Placido Polanco,3B,2750000,MIA
Adeiny Hechavarria,SS,2750000,MIA
Greg Dobbs,1B,1600000,MIA
Juan Pierre,LF,1600000,MIA
Jeff Mathis,DNP,1500000,MIA
Jacob Turner,DNP,1175000,MIA
Chad Qualls,RP,1150000,MIA
Jon Rauch,RP,1.00E+06,MIA
Ryan Webb,RP,975000,MIA
Miguel Olivo,C,8.00E+05,MIA
Kevin Slowey,SP,750000,MIA
Austin Kearns,PH,7.00E+05,MIA
Casey Kotchman,1B,7.00E+05,MIA
John Maine,RP,625000,MIA
Giancarlo Stanton,RF,537000,MIA
Henderson Alvarez,DNP,507900,MIA
Steve Cishek,RP,505000,MIA
Chris Coghlan,PH,503500,MIA
Nathan Eovaldi,DNP,502000,MIA
Chris Valaika,SS,495000,MIA
Justin Ruggiano,CF,494500,MIA
Michael Dunn,RP,492500,MIA
Wade LeBlanc,SP,491500,MIA
Logan Morrison,DNP,491500,MIA
Donovan Solano,2B,491500,MIA
Alejandro Ramos,RP,490000,MIA
Kyle Skipworth,PH,490000,MIA
Rob Brantly,C,490000,MIA
Jose Ceda,DNP,490000,MIA
Jose Fernandez,SP,490000,MIA
Alfredo Silverio,DNP,490000,MIA
Adrian Gonzalez,1B,21857143,LAN
Carl Crawford,LF,20857143,LAN
Matt Kemp,CF,20250000,LAN
Zack Greinke,SP,1.90E+07,LAN
Josh Beckett,SP,1.70E+07,LAN
Hanley Ramirez,SS,15500000,LAN
Andre Ethier,RF,13500000,LAN
Ted Lilly,SP,13166667,LAN
Clayton Kershaw,SP,11250000,LAN
Chad Billingsley,SP,1.10E+07,LAN
Juan Uribe,3B,7.00E+06,LAN
Aaron Harang,DNP,7.00E+06,LAN
Chris Capuano,SP,6.00E+06,LAN
Brandon League,RP,5500000,LAN
Mark Ellis,2B,5250000,LAN
Matt Guerrier,RP,4750000,LAN
Jerry Hairston,3B,3750000,LAN
Yasiel Puig,DNP,3714286,LAN
Hyun-jin Ryu,SP,3333333,LAN
J.P. Howell,RP,2850000,LAN
A.J. Ellis,C,2.00E+06,LAN
Skip Schumaker,LF,1500000,LAN
Nick Punto,2B,1500000,LAN
Ronald Belisario,RP,1450000,LAN
Tony Gwynn,DNP,1150000,LAN
Kenley Jansen,RP,512000,LAN
Scott Elbert,DNP,505000,LAN
Luis Cruz,3B,505000,LAN
Justin Sellers,SS,494000,LAN
Tim Federowicz,PH,491000,LAN
Alex Castellanos,DNP,490500,LAN
Josh Hamilton,RF,17400000,ANA
Jered Weaver,SP,16200000,ANA
Albert Pujols,DH,1.60E+07,ANA
C.J. Wilson,SP,11500000,ANA
Howard Kendrick,2B,9100000,ANA
Erick Aybar,SS,8750000,ANA
Jason Vargas,SP,8500000,ANA
Joe Blanton,SP,6500000,ANA
Chris Iannetta,C,5050000,ANA
Scott Downs,RP,5.00E+06,ANA
Alberto Callaspo,3B,4100000,ANA
Tommy Hanson,SP,3725000,ANA
Sean Burnett,RP,3625000,ANA
Ryan Madson,DNP,3500000,ANA
Jerome Williams,RP,2.00E+06,ANA
Kevin Jepsen,RP,1181250,ANA
Mark Lowe,RP,575000,ANA
Mark Trumbo,1B,540000,ANA
Ernesto Frieri,RP,530000,ANA
Peter Bourjos,CF,512500,ANA
Mike Trout,LF,510000,ANA
Hank Conger,C,495000,ANA
Garrett Richards,SP,495000,ANA
Andrew Romine,SS,492500,ANA
Andrew Taylor,DNP,490000,ANA
Ervin Santana,SP,1.30E+07,KCA
James Shields,SP,10250000,KCA
Alex Gordon,LF,9.00E+06,KCA
Billy Butler,DH,8500000,KCA
Jeff Francoeur,RF,6750000,KCA
Jeremy Guthrie,SP,5.00E+06,KCA
Luke Hochevar,RP,4560000,KCA
Bruce Chen,RP,4500000,KCA
